INSTRUCTIONS: Do not modify the first 4 columns of this sheet.  Fill out the Desired Shadow Bets column. Save the file as a .csv and send back to us,,,,
Canonical Id,Name,Team,Position,Desired Shadow Bets
715a8a5c-7f1f-43ba-8d89-5a481735c85c,Phil Costa,DAL,C,
54a60e5b-3a55-4381-a2a8-3063795d5070,David Baas,NYG,C,
169418c0-09b8-4807-b696-d98de0cfa690,Fernando Velasco,PIT,C,
a893e70f-e3a6-4f2c-98c0-0f83c2be00d6,Jonathan Goodwin,SF,C,
6c2c4e4c-82f0-46e2-bcfb-3ed5f452266b,Maurkice Pouncey,PIT,C,
d503e3cf-861d-4b06-8de8-f66b1b72a3bf,Ryan Kalil,CAR,C,
1f0d9995-7ace-44ab-8d61-2f3924d5b75d,Rodney Hudson,KC,C,
7f87c105-e608-4911-8897-31cc5a443175,John Sullivan,MIN,C,
10705556-cdb5-4b20-a26a-d1b48bcaf51b,Dominic Raiola,DET,C,
edb6712f-cf3f-4fa2-8dcf-03488334e037,Mike Brewster,JAC,C,
05f8aa7b-3df8-4091-963d-1d4eabb56fa9,Khaled Holmes,IND,C,
220fbd2e-10a8-4757-a6f4-6aab0327846a,Brian Folkerts,CAR,C,
2ba94880-d59e-4efb-8de9-abb432286614,J.D. Walton,DEN,C,
f7163bae-d4da-4d38-847e-e0315605b9d0,A.Q. Shipley,BAL,C,
dea8f688-602c-4b48-946f-e634fb81d737,Travis Frederick,DAL,C
309d4132-39f1-4a5b-b251-125dadf9b1b5,Colin Brown,BUF,C
b1674df8-2270-4ade-a168-00159259c0b8,Max Unger,SEA,C
a6025030-596c-4829-9138-8281df21d841,Brian Schwenke,TEN,C
adeb92c4-bbf2-4cfa-8c76-55b1d30d1c1b,Cody Wallace,PIT,C
b88e61f8-2573-40c1-90d4-85a8a4eeb6e1,Jeff Byers,CAR,C
86a8cf97-21b2-4efb-9d26-650d979b1f22,Brad Meester,JAC,C
fa9d0178-a2a7-402f-ad11-c7bea0b80705,Ben Jones,HOU,C
5759b58f-6d8b-4b62-96e2-ff894f39fa76,Nick Hardwick,SD,C
2c48a13f-bac4-46f8-b405-7ada72dd543e,Ted Larsen,TB,C
81e6e16c-ef1b-4898-b75a-7bb25741234f,Lyle Sendlein,ARI,C
2c80e71d-c173-4c07-aeda-69371e969591,Evan Dietrich-Smith,GB,C
041c36ad-0d7d-4ed1-8157-95092b3027a4,Mike Pouncey,MIA,C
c5516d6a-bee1-435e-b45c-73492683e2a5,Chris Myers,HOU,C
1d02b5a6-fe2e-4131-a9ab-6ed3558f4026,Jason Kelce,PHI,C
4432a990-5b9d-402b-ae64-03990eff8146,Scott Wells,STL,C
a5ae791d-9fbe-4568-80ff-a4b813d8203d,Tim Barnes,STL,C
2386681b-ea65-4d13-a668-f2dbafe8790e,Dan Koppen,DEN,C
878f2957-283a-457f-b266-c6e9cf9d99fd,Patrick Lewis,CLE,C
fcaa51ea-0923-4afc-a7cf-22e47a14acf4,Jeremy Zuttah,TB,C
34c53ab4-4f21-4b02-9012-6f97b7451075,Rob Turner,TEN,C
6d6784cf-95b7-421c-aacb-26f58a7def9f,Eric Wood,BUF,C
50287cd3-afea-47f4-aa56-98a82aa87cf0,Ryan Jensen,BAL,C
64419234-82af-49fb-9c7a-098388e745b3,Nick Mangold,NYJ,C
d3cde6a6-f635-40d8-adc6-f1a7892f8683,Eric Kush,KC,C
9ad039f5-fe77-4fa4-8342-e9022ab7d629,Kyle Cook,CIN,C
f9c87103-362b-4c00-9453-a0b4dc963a06,Steve Vallos,DEN,C
b8425853-7426-4ac1-bc1b-4978d6c8e684,Jim Cordle,NYG,C
b565f20f-6fac-4efe-84d3-9082f86da25a,Samson Satele,IND,C
1133c99a-972c-440e-a969-95c46565d033,Will Montgomery,WAS,C
dbdd3f14-29a4-4060-a04e-2af906eaab8b,Taylor Boggs,CHI,C
3ec2ad5e-f4e0-474a-98a9-0bde4ff5aab9,Joe Haden,CLE,DB
cbe81592-1ee2-4bf1-870a-2578c4c8267e,Tavon Wilson,NE,DB
e2ef7b61-cf9d-47ab-927a-77759412ceb1,Leon McFadden,CLE,DB
5cc16769-2495-4aca-b2d8-22f999238846,Stevie Brown,NYG,DB
1eb8ad96-b4f3-461e-81a3-0a4e08844f73,Nickell Robey,BUF,DB
